index,filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0,85_NGƯỜI CÔ ĐƠN - DA VÀNG BAND,0.5617623298536305,1.0,0.2071313813942977,0.5004138227938326,0.4173941116838388,1.0,0.40476436577226416,0.588957179633671,0.3704125255773165,0.9111455004178464,0.4385389007441572,0.9999999999999999,0.337740753749557,0.15695959208512442,0.5021208319742293,0.08578868227331372,0.35,0.15640476758538113,0.6122521175206898,0.19830088583818362,0.37244031266123795,0.9685934403161506,0.3299380418372907,0.7722268598495522,0.21552051682467976,0.4382256973037539,0.18388197557936883,0.738547221358836,0.17133648026985746,0.7677462549741004,0.12362521585847241,0.4143721061229899,0.0292235294209178,0.7680882669432707,0.22095252854105746,0.42069543728684966,0.07943199301408346,0.6418848395059338,0.19739577946839573,0.6236227857458883,0.6490403082789548,0.7014696563598212,0.33096661512959946,0.7847419526270442,0.4681580289308791,0.658324920134828,0.20083787914050846,0.7419115503944648,0.29728494681912127,0.8410652881768965,0.3038347741898575,0.47403195790319763,0.23956808391859616,0.5125181147196889,0.09890149890054525,0.5844737295100576,0.14924981894279493,rock
1,41_Co_ Ai Kho_ng,0.22857316174841702,0.6336962550868539,0.08714554397305227,0.03610444133014027,0.23164092918184698,0.7071162954878019,0.333708100843749,0.9999999999999999,0.3137898275358082,1.0,0.16633457187753614,0.3647592817055041,0.340499060938,0.03926669651720553,0.5009031961786568,0.012635787536068345,0.5937499999999999,0.02945399581530761,0.2822361947089555,0.6145426962490667,0.47478740294376376,0.8855604377145863,0.1925278125714792,0.12595960796707328,0.21414530148203753,0.500988145062689,0.3540547451503684,0.5704113679215174,0.2037998216193844,0.567144317790834,0.5318754669854417,0.4135138473905765,0.19482705879239523,0.4404167438605139,0.3667044218704823,0.3156133495210157,1.0,0.25477415156454164,0.4757155845486011,0.571502671975649,0.38969940680105264,0.4730402905688808,0.8114845917484136,0.3986809708117588,0.3598799268877606,0.33159319682497923,0.4022184875865522,0.2832802841653652,0.3694763505645229,0.17105155073958866,0.33214817373623573,0.3669761331495459,0.5621652278530607,0.10667409425570606,0.3156445965197247,0.25520639013327323,0.29689556259846883,rock
2,80_Giấy Gấp - Vì Sao Em Không Đến Với Tôi Ngay Lúc Này,0.6746575748027062,0.5924532640990297,0.3896969398699074,0.12193401860326489,0.30426773285154585,0.17289463539033656,0.44629197986865554,0.178334026383957,0.3447548231511254,0.22528572094958316,0.19879886248330297,0.1453468066035006,0.3390637660484811,0.20827881232145493,0.5024542790000042,0.176655892029229,0.2455357142857143,0.5366874461748291,0.17276659811208595,0.4829676543119318,0.14677800456998852,0.4855721367076053,0.26733866792153904,0.6856999636294302,0.36090341429186484,0.4899500455661139,0.398990116888009,0.6736853381307725,0.11908816994345842,0.8315396818445341,0.21539875068389386,0.6853469560586156,0.0590061226846057,0.7826532750255589,0.30094141782636535,0.761997342445892,0.15549328840400203,0.7674220684309077,0.257979319555783,0.8339000971871651,0.19210205917833031,0.7289739059122811,0.3173904056069412,0.7175518535489464,0.27246000740049336,0.4708627312914243,0.229908800462477,0.7373732759721887,0.19532270655317424,0.6673494911775065,0.123549175120272,0.4800554015854849,0.15267503630832654,0.45024270816056494,0.08192182843390414,0.6685199431063089,0.1498744191169366,rock
3,20_Em Đéo Biết Nữa Anh Ơi,0.8108779807316857,0.40149214386529497,0.8852223820289472,0.35566245365761645,0.6961301209050127,0.09510662164461588,0.6830297485119039,0.0005631969998153574,0.6864145664254816,0.04217072599858386,0.6327629457439068,0.5139133944175552,0.32799809417048226,0.7325232469842456,0.20937066356839173,0.7484224923097371,0.4829545454545453,0.9249134993365682,0.1740687386236664,0.15152220567583152,0.07099208815133305,0.2614506172994725,0.037664361334704646,0.703535384147586,0.04466098151308526,0.4244619308570475,0.1675694352794511,0.823993045961201,0.09875209532513096,0.721643184378346,0.04564745706024717,0.7260050761353816,0.013580121979569662,0.9114327561267629,0.0802899941595362,0.9121868785774461,0.11733212091548131,0.7880302226538717,0.21006475042564368,0.7616635787784906,0.1006335775527196,0.6958529363272711,0.10363597440128097,0.6433797625904799,0.09146390356783746,0.5060834050353501,0.1313161814024804,0.7532833587373085,0.13172900796953885,0.5747619730925075,0.1287550364401451,0.7285473667801105,0.17741469707066368,0.4815207589701932,0.10524029638329135,0.5673677458128211,0.19123635239943404,rock
4,124_Trên Những Đám Mây,0.8586830599576902,0.5434926024372966,0.31827390092816227,0.06057763735730406,0.46518054099986406,0.2210143641938263,0.7451634827071152,0.1535496605322249,0.6099039023677287,0.32827780892606817,0.20751727113809082,0.16964867637581257,0.34129896917939284,0.13570981249980898,0.5058874912803644,0.13767566749274118,0.4347826086956522,0.5183148339345729,0.07760950465422603,0.3280120601039598,0.11734510204160475,0.6880359722975891,0.08868411909014254,0.6154390624348152,0.2632430146905939,0.6140451860692351,0.10786859527306361,0.8361263523594895,0.11022653565356447,0.6612519900792485,0.27417183460707173,0.7768445567352269,0.06607051388072177,0.804500528464591,0.0823146209046473,0.6660884816043497,0.16982954314516305,0.7793378114720044,0.07498370987091771,0.6525781837897573,0.11614005398097574,0.6791282181274855,0.24119208642359807,0.6631062849829958,0.09210424009071716,0.5623460122817276,0.2076199781658414,0.6745620469031105,0.15166859066295796,0.872213590914189,0.14600522256408635,0.7816184427245618,0.17782113381538392,0.487680054497054,0.13438494607135876,0.653603773050851,0.16928396558518732,rock
5,98_Là Tất Cả,0.8665640464205133,0.4285008677170805,0.5513860950510417,0.4811836782689927,0.5524173044817856,0.10976909604553108,0.46891292729469014,0.10537909412545332,0.5274097486115171,0.1275560029199214,0.5911670149612016,0.12778603435269037,0.3404816898184013,0.37657131281709355,0.5320184997467053,0.3530812122704737,0.2777777777777778,0.7823178554273047,0.18353407689309026,0.35433303164840224,0.14590414668512308,0.12689797774010397,0.06384114978286312,0.6071944579740799,0.25233478913267315,0.23252459718075416,0.22297746926527087,0.6866442508750015,0.13823249407030977,0.5846207134581055,0.20056559405893337,0.6093379708136067,0.09369335804641721,0.7547185851288716,0.5068171875489085,0.6930448884094276,0.08030326779955335,0.6901634567973333,0.06030070473236168,0.6082679681906098,0.15919728774792477,0.782384158655449,0.23820479606603745,0.6043997108129796,0.09100854361423472,0.5644332743612057,0.11740468260774042,0.7451463157431761,0.09371925282336852,0.6706839469527843,0.1236052516537017,0.8544999139014475,0.22236469258527433,0.5381026301908228,0.1171064500294659,0.6610322940021588,0.09290743082431663,rock
6,76_Lý Bực - Kiềm Trớ _Official Music Video_,0.6858379505542944,0.5189617463080838,0.9999999999999999,0.0694474345436617,0.4869713314396005,0.10084052228054989,0.7541239103468882,0.11405495209506872,0.6528600920783395,0.2053542638807408,0.24492837503295178,0.03697354379672719,0.3361606906363509,1.0000000000000002,0.3240546722529543,0.6049520084089389,0.6578947368421054,0.9035030388882691,0.018165737685291984,0.37907048460559456,0.042793785201192286,0.6383391402918599,0.02059603365354619,0.4895973831475093,0.05242633374862088,0.35412248153071696,0.07452565657269533,0.8501247469462233,0.0,0.8463067483126286,0.013692286135462306,0.6988517523782125,0.035063329833455184,0.8005145341411019,0.046088099213117295,0.715566627223944,0.0056920458216341285,0.6236743468025024,0.0637881593249209,0.9298428367722404,0.13432889377954813,0.5963366566048338,0.058660737814200115,0.8329057768168707,0.10471416291771996,0.5156033445619131,0.12053576303187283,0.738679705994321,0.05958821306762835,0.7337012104276179,0.06589637164381984,0.5959194460283692,0.07096536698883435,0.3605287071773844,0.12767455596112598,0.7606260845755347,0.16831286234328446,rock
7,111_Cao Nguyên Đá _Version 2_,0.5469842690822935,0.6735602349426375,0.6720957237333413,0.1568241175547633,0.49839564653897617,0.06658585753842396,0.5934571215470601,0.09626065733873787,0.5671039169833382,0.10013169605182362,0.38712238024337947,0.07498816111922238,0.34101818621740393,0.4922041224859656,0.5735141596107174,0.41163837413718535,0.4347826086956522,0.8199931548325369,0.026463160512547323,0.3472251278290136,0.07174949893131231,0.3898249186916841,0.040575365572430064,0.7727216556883609,0.04908358535156751,0.3676732170288087,0.07089362619528175,0.6800428654814812,0.03713403334224244,0.6294560169611605,0.12394271823420422,0.7105835416898922,0.03162983715258828,0.8005358546422977,0.09052513068353008,0.5821902700095503,0.0684754950098552,0.7084135787996003,0.202341587880114,0.4465681685541484,0.08408144194989606,0.39450549172080474,0.21911677711091015,0.5891513987503466,0.21974227170254046,0.5054999105554177,0.13053398643980216,0.7691842998593609,0.12549225563032262,0.3447195894777415,0.24854972255378702,0.2078833824818329,0.3871802355815719,0.51334769825065,0.19924132410020245,0.6076929124717774,0.1795516203880413,rock
8,103_Đi Chơi Show,0.6469853456632215,0.47234289103560423,0.611827617659177,0.07829405691447286,0.5751390825254433,0.035390830638372464,0.626909041229901,0.04031086319051274,0.656977126571178,0.05389035519868193,0.4594144822782142,0.03963233100812311,0.3395076039186714,0.35320283190671153,0.5099771219010807,0.4136337572241459,0.2777777777777778,0.856144828469064,0.019055966566491965,0.3198925268729895,0.0408233787288423,0.3487966193241967,0.03572859688401539,0.552084583070533,0.12033818231264792,0.11390084282826304,0.1582721776258237,0.805010031334368,0.08095232207226602,0.5395344564364917,0.18245562659949077,0.5742058717209191,0.01399612619020256,0.6355041587849442,0.06624766648474245,0.5484969312470038,0.1423627176183168,0.5438873410408432,0.07407256769202811,0.6857291993613159,0.09771559288834272,0.7416942986959528,0.08622572553700125,0.56715026200239,0.08089506056051332,0.4872015493384626,0.0915634745031568,0.6753378344280927,0.03862242379452735,0.6765102875992667,0.11683454558714781,0.6540732188724712,0.14151067082921467,0.32001405635771824,0.0699267284178573,0.6306842079474154,0.11479859481017232,rock
9,86_Ngày Tháng Có Mang Em Về _ Black Of Panic _ OFFICIAL LYRICS VIDEO,0.5710970732319331,0.5883073750459946,0.7294600282086324,0.16489526113152495,0.5936765066741806,0.23627111415477114,0.6384809793398682,0.15080234255138159,0.6557631175095001,0.2142879498963497,0.5170634868038342,0.26804665836863495,0.3393743998599109,0.5370449952060883,0.41715713484470696,0.5298120159453449,0.1875,0.8238551977448442,0.050705781431185565,0.28448984653703324,0.15896975264407612,0.496601366462501,0.10837769204523737,0.8792488364187884,0.26189942626090734,0.3119191055316703,0.34697023365752555,0.665516243609318,0.08530155775528081,0.6445241256724458,0.29692924500027296,0.6967320231379395,0.13768092411545071,0.5914842598492439,0.31009097557107707,0.6844684750498493,0.1995258290711219,0.7782602971278584,0.2911891816680283,0.6776755212178053,0.2659028340778935,0.8790080360040349,0.40935717966276386,0.41116094920972224,0.2408401012034993,0.305074069289054,0.4857783186681507,0.6244045358038217,0.2645005782244706,0.36292873954775917,0.24735305015931938,0.3372719666706008,0.35820461282529037,0.6093128160312279,0.3842539303405366,0.5632348551075923,0.3630730626033984,rock
